[0722/190605.508:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0722/193625.292:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0722/193630.456:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0722/193635.478:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0722/193640.558:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0722/193645.647:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0722/193650.651:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0722/193655.665:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0722/193700.697:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0722/193705.714:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0722/193710.735:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0722/193715.743:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0722/193720.764:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0722/193725.771:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0722/193730.811:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0722/193735.817:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0722/193745.727:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
